alphaT,betaT,data.size,seed,alphaE,betaT.1,gammaT,deltaT,failure,time
0.7,0,200,28,0.738286874002564,-0.13710190892226,0.7868814675351,-0.0170142734261152,0,0.806000000000495
0.7,0,200,2,0.751897171328495,-0.108835220522941,1.00995575607569,-0.203463850728443,0,0.837999999999738
0.7,0,1600,7,0.693926704297303,0.0394789403363561,0.938000366185422,-0.0163993836689368,0,2.61199999999917
0.7,0,1600,8,0.686351264687722,-0.0264388211248248,1.00626770719668,0.0188232293697926,0,2.61100000000079
0.7,0,1600,11,0.72988502455235,0.0119222890633436,0.97221733319662,0.00176354567749211,0,2.61700000000019
0.7,0,1600,18,0.70390005909676,-0.00788497330568163,0.994650552834191,0.0326363010597957,0,2.64500000000044
0.7,0,1600,12,0.698298085267484,0.010076112714539,0.953912870324985,-0.00966512185676849,0,2.61999999999898
0.7,0,1600,21,0.714868817626909,0.0532200490957088,0.973936881133134,0.0129848009618251,0,2.71600000000035
0.7,0,1600,10,0.752552820822864,8.0662298179889e-05,1.02965399542326,-0.0365321430904109,0,2.64899999999943
0.7,0,1600,20,0.651150688657774,-0.0210515735757034,0.996903927663907,0.00326655901565023,0,2.74799999999959
0.7,0,1600,28,0.739496118325928,-0.0561475780174157,0.934454098456577,-0.0122977907011121,0,2.79999999999927
0.7,0,1600,2,0.690257578970107,0.0126262835979022,1.02231090048818,0.00116474948169329,0,2.73300000000017
0.7,0,200,7,0.864557059730024,0.159177474989821,0.839807717736232,0.0570858919796069,0,0.881000000001222
0.7,0,200,8,0.789095884723542,0.0917447467232964,0.906603785076863,-0.0231928103115955,0,0.835000000000946
0.7,0,200,11,1.11292014981981,0.0155918871424904,0.81156587579308,-0.0964996223445557,0,0.84900000000016
0.7,0,200,18,0.764323449215248,-0.286688960524734,1.00565827389655,0.0143574189108629,0,0.809000000001106
0.7,0,200,12,0.905233249725841,0.15005086122734,0.873588174074277,-0.0330801015368943,0,0.835999999999331
0.7,0,200,21,0.512120347729211,0.0339253150712454,0.835490765049592,0.133856145263493,0,1.07799999999952
0.7,0,200,10,0.797541306758599,-0.0103947685185273,0.84410744236902,-0.0394382208106844,0,0.82300000000032
0.7,0,200,20,0.516336760722545,-0.0733461581075317,0.725293251730056,-0.0446318533548722,0,1.06299999999828
